Código,Descrição
86,IMPOSTO DE IMPORTAÇÃO - OUTROS
94,IMPOSTO DE IMPORTAÇÃO - BAGAGEM ACOMPANHADA
107,IMPOSTO DE EXPORTAÇÃO - OUTROS
148,CIDE - COMBUSTÍVEIS - IMPORTAÇÃO - LANÇAMENTO DE OFÍCIO
150,MULTA DE OFÍCIO - CIDE - COMBUSTÍVEIS - IMPORTAÇÃO
158,JUROS LANÇADOS DE OFÍCIO - CIDE - COMBUSTÍVEIS - IMPORTAÇÃO
300,RECEITA DIREITOS ANTIDUMPING-LANÇAMENTO DE OFÍCIO
338,MULTA ISOLADA REC DIREITOS ANTIDUMPING E COMPENS ART.7 LEI 9019/95
406,JUROS DE MORA - IMPOSTO DE IMPORTAÇÃO
679,PIS - REGIME ESPECIAL DE TRIBUTAÇÃO - CERVEJAS
691,PIS - REGIME ESPECIAL DE TRIBUTAÇÃO - DEMAIS BEBIDAS
724,PIS - IMPORTAÇÃO - REGIME ESPECIAL DE TRIBUTAÇÃO - CERVEJAS
753,PIS - IMPORTAÇÃO - REGIME ESPECIAL DE TRIBUTAÇÃO - DEMAIS BEBIDAS
760,COFINS - REGIME ESPECIAL DE TRIBUTAÇÃO - CERVEJAS
776,COFINS - REGIME ESPECIAL DE TRIBUTAÇÃO - DEMAIS BEBIDAS
782,COFINS - IMPORTAÇÃO - REGIME ESPECIAL DE TRIBUTAÇÃO - CERVEJAS
809,COFINS - IMPORTAÇÃO - REGIME ESPECIAL DE TRIBUTAÇÃO - DEMAIS BEBIDAS
821,IPI - REGIME ESPECIAL DE TRIBUTAÇÃO - CERVEJAS
838,IPI - REGIME ESPECIAL DE TRIBUTAÇÃO - DEMAIS BEBIDAS
850,IPI - VINCULADO IMPORTAÇÃO - REGIME ESPECIAL DE TRIBUTAÇÃO - CERVEJAS
867,IPI - VINCULADO IMPORTAÇÃO - REGIME ESPECIAL DE TRIBUTAÇÃO - DEMAIS BEBIDAS
1.038,IPI VINCULADO À IMPORTAÇÃO
1.089,IMPOSTO DE EXPORTAÇÃO - CACAU
1.524,MEDIDA COMPENSATÓRIA - MULTA
1.525,MEDIDA COMPENSATÓRIA - JUROS
1.527,MEDIDA DE SALVAGUARDA - MULTA
1.528,MEDIDA DE SALVAGUARDA - JUROS
1.531,MEDIDA COMPENSATÓRIA - MULTA DE OFÍCIO
1.532,MEDIDA COMPENSATÓRIA - JUROS DE OFÍCIO
1.533,MEDIDA DE SALVAGUARDA - MULTA DE OFÍCIO
1.534,MEDIDA DE SALVAGUARDA - JUROS DE OFÍCIO
1.558,MULTA ADUANEIRA - REMESSA EXPRESSA
1.587,IMPOSTO IMPORTAÇÃO - REMESSA EXPRESSA
1.593,IMPOSTO IMPORTAÇÃO - REMESSA EXPRESSA - LANÇAMENTO DE OFÍCIO
1.603,MULTA DE OFÍCIO - IMPOSTO DE IMPORTAÇÃO - REMESSA EXPRESSA
1.962,IMPOSTO DE IMPORTAÇÃO - PETRÓLEO E DERIVADOS
2.185,MULTA APLICADA NO SETOR ADUANEIRO SEM REDUÇÃO
2.866,JUROS DE MORA - IPI VINCULADO
2.892,IMPOSTO DE IMPORTAÇÃO - LANÇAMENTO DE OFÍCIO
2.933,TRIBUTOS FEDERAIS DEVIDOS EM IMPORTAÇÃO REALIZADA AO AMPARO DO RTU - LEI 11.898/09
3.005,MULTA DE OFÍCIO DO IMPOSTO DE IMPORTAÇÃO
3.101,JUROS DE OFÍCIO - IMPOSTO DE IMPORTAÇÃO
3.228,MULTA IMPOSTO DE IMPORTAÇÃO
3.231,IMPOSTO IMPORTAÇÃO - REMESSA POSTAL
3.248,MULTA ADUANEIRA - REMESSA POSTAL
3.254,IMPOSTO IMPORTAÇÃO - REMESSA POSTAL - LANÇAMENTO DE OFÍCIO
3.283,MULTA DE OFÍCIO - IMPOSTO IMPORTAÇÃO - REMESSA POSTAL
3.345,IPI VINCULADO IMPORTAÇÃO - LANÇAMENTO DE OFÍCIO
3.358,MULTA DE OFÍCIO - IPI VINCULADO À IMPORTAÇÃO
3.890,IMPOSTO DE IMPORTAÇÃO - CONVERSÃO DEPÓSITO JUDICIAL
3.928,IPI VINCULADO - CONVERSÃO DEPÓSITO JUDICIAL
4.562,PIS/IMPORTAÇÃO - LANÇAMENTO DE OFÍCIO
4.597,PIS/IMPORTAÇÃO - MULTA DE OFÍCIO
4.669,PIS/IMPORTAÇÃO - JUROS DE OFÍCIO
4.685,COFINS/IMPORTAÇÃO - LANÇAMENTO DE OFÍCIO
4.693,COFINS/IMPORTAÇÃO - MULTA DE OFÍCIO
4.802,COFINS/IMPORTAÇÃO - JUROS DE OFÍCIO
5.149,MULTA APLICADA AO SETOR ADUANEIRO COM REDUÇÃO
5.503,IPI VINCULADO - IMPORTAÇÃO VEÍCULOS
5.516,IMPOSTO DE IMPORTAÇÃO - VEÍCULOS
5.529,ANTIDUMPING
5.602,PIS/PASEP IMPORTAÇÃO
5.622,MEDIDA COMPENSATÓRIA
5.629,COFINS IMPORTAÇÃO
5.637,MULTA COFINS IMPORTAÇÃO
5.645,JUROS COFINS IMPORTAÇÃO
5.651,MEDIDA DE SALVAGUARDA
5.653,MULTA PIS IMPORTAÇÃO
5.661,JUROS PIS IMPORTAÇÃO
5.668,MEDIDA COMPENSATÓRIA - LANÇAMENTO DE OFÍCIO
5.674,MEDIDA DE SALVAGUARDA - LANÇAMENTO DE OFÍCIO
6.324,MULTA ISOLADA - PIS/PASEP (ART. 43 LEI 9.430/96)
6.337,MULTA ISOLADA - COFINS (ART. 43 LEI 9.430/96)
6.340,MULTA ISOLADA - IMPOSTO DE IMPORTAÇÃO (ART. 43 LEI 9.430/96)
6.393,MULTA ISOLADA - IPI VINCULADO (ART. 43 LEI 9.430/96)
6.542,JUROS DO IMPOSTO DE IMPORTAÇÃO (ART. 43 LEI 9.430/96)
6.608,JUROS DO IPI VINCULADO (ART. 43 LEI 9.430/96)
7.811,TAXA DE UTILIZAÇÃO DO SISCOMEX
9.064,IMPOSTO DE IMPORTAÇÃO - ADICIONAL
9.438,CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMÍNIO ECONÔMICO INCIDENTE SOBRE A IMPORTAÇÃO - CIDE
9.806,MULTA IPI - VINCULADO À IMPORTAÇÃO